TEAM NAMES,Series Number,Filename,Name,Description,Gender,attributes,UUID,sha256
,11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,Male,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none;,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,9b201106399757e59a65bb3b5bad51face6ab29fe1fb678eb29b19f84e2de6e9
,12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,Male,hair: bald; eyes: yellow; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: agility; weakness: none;,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,e22415e4ef486c0ee32d5825cba4e85fa4ea210fba78e1c6624696e2361c0a5c
,13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him still.,Male,hair: bald; eyes: blue; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: none; weakness: none;,dfbb4163-df24-4d54-b74c-6218a68df8bd,0978d466300d90c6fcd28aa346f9b976ede55c0795784169a02c332bb14c61ce
,14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,Male,hair: bald; eyes: ash; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: creativity; weakness: none;,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,182421fa619627a1549af961d64e60baa0316b456d6b8073b839d854eed18d76
,15,nina-paper-chaser,nina paper chaser,Nina loves money. It's all she dreams of. ,Female,hair: brown double bun; eyes: none; teeth: none; clothing: animal print; accessories: glasses; expression: none; strength: hustler; weakness: none;,59524227-dc52-407c-8cca-e9e8c5fb3018,486edeadcf88ff291ba7509c4954a5bf88d0ecd04f20da204014a47e2ea43811
,16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,Male,hair: bald; eyes: black; teeth: none; clothing: yellow and purple agbada; accessories: mask; expression: none strength: none; weakness: none;,808f7007-6552-4efa-bd13-4b7c337b102b,66ad4ac249f02a0c6d34d71370958a81981ed77f6c30c4d879cd3d9f5adb29aa
,17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,Male,hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none;,ba3edda7-8940-4ca4-97ba-826398d5909f,8faea085c0f545ecbe2e2c346a6d237df6664812b05535dd8f1828a1b1a3f9bc
,18,tiwa-london,tiwa london,If she says she's in London and you see her; you're in London too.,Female,hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness;,78da7aeb-8352-4e25-89ac-dc48b5984089,88712ac7b3a7c12863c9d41e177c83fc9715af5c61c8e219cc1cdb30737aa7d5
,19,tunde-yoruba-demon,tunde yoruba demon,Tunde derives joy in breaking hearts. It's a lifestyle.,Male,hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity;,53b46bd7-a537-402b-b249-0b4074a8faae,8370aef4a5f96c3993b66e98ff361fb530f9268cd64e95cb55d87bc7ecd9cda0
,20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,Male,hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things;,4adb6781-1614-424e-8f77-fe59ffca2209,6e4fd804a66ab0a26e7ceb563b2c3118b083988afd175961b6ab153ac975ea5d
TEAM CLUTCH,21,abdul-the-vibe,abdul the vibe,Abdul the life of the party and can never be caught un-fresh.,Male,hair: none; eyes: black; teeth: none; clothings: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation;,770f817a-9d9a-4772-9a91-e66dd9d03470,f1e823971184389fa966583e88199f39e229c10433f4c5b52cabfe69b4544f0f
,22,emeka-the -clown,emeka the clown,Emeka the funny man; always making silly joke.,Male,hair: none; eyes: black; teeth: none; clothings: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique;,78810fa6-a7ef-4d83-bf57-caf49db4ee69,e19c70f23a9526ed5083d694e8daa87651feed12e248a90deb95be9b7e94b119
,23,salam-the-odogwu,salam the odogwu,Salam is a big time textile marketer always sourcing for quality materials.,Male,hair: none; eyes: brown; teeth: none; clothings: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience ;,f2957ded-022c-4b07-92c6-b345d4816a67,b0c39e33a92627be32f98ac7eba33b39655e55224f46616515b7157bd45d3031
,24,charles-the-exporter,charles the exporter,Charles a business man an importer and exporter never to be caught idle.,Male,hair: none; eyes: grey; teeth: none; clothings: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant;,09395e76-19ed-4852-8748-795ee7496a8e,aa1c987ad09ca59dc711b6fb79f8144011091b714cd3187220018aba3db47285
,25,wole-the-pimp,wole the pimp,Wole knows people and his way around his city.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothings :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous;,4d94d4f7-9b69-4e43-9db1-1fe83df92857,ce79c5de564e4e86bb7799d3d93a9068859af5863daeee38be3d8363a71358db
,26,saro-the-baller,saro the baller,Saro is a baller and he is always ready to turn-up,Male,hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothings: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable;,d35a7514-8996-42fb-a5f2-5a603ec679c5,8ec38bcc5b4cbc31d7846fef466ae2fd01dadc05091b9340b93d37e5eb1c7aa1
,27,ade-omo-yoruba,ade omo yoruba,Ade is an influential man and he is revered in his town.,Male,hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothings: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination;,92984fa0-310b-4377-8a10-15965d044383,76bbe8cf4330ac6ad308c8a702183cee9188950240513359b1b72e8bd94b0670
,28,shola-cool-kid,shola cool kid,Shola prefers to be alone because he hates stress.,Male,hair: none; eyes: none; teeth: none clothings: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful,3ac5c186-bc14-4eb6-8567-cc818465a64f,af49cfb41aa1abd36a31bdb3bd61efec05bfaa0dfb6515b2c5345a4e929faf5c
,29,charlie-the-smoker,charlie the smoker,Charlie uses smoking as a coping mechanism.,Male,hair: none; eyes: black; teeth: none; clothings: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible;,71a0aa22-d111-43b7-8484-43d87310bc42,85eba422b29bd733edecf3afcd18f345b53233e8d719781785805edbcfe4b340
,30,femi-the-badguy,femi the badguy,Femi is one of the fliest guys in Lagos.,Male,hair: orange; eyes: black; teeth: none; clothings: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance;,e493e3fb-a8a0-455a-854f-0f6474bbc69f,5c58a2992b3dd17f3ab284a0f364d8830428ba4476acff388839a042f820eef1
,31,sinzu-money,sinzu money,Sinzu loves spending money on flashy things.,Male,hair: none; eyes: blue; teeth: white complete teeth and a brown tooth; clothings: purple and yellow kaftan; accessories: green-stripped fila cap; expression: strength; strength: generous; weakness: aggressive ;,942f8347-9932-4331-bd15-d0f3a048b54f,3369a01f8acd4227a2a50d53b1841d4d241246d309cdacf2b8511e68634c553d
,32,obinna-the-palmwine tapper,obinna the palmwine tapper,Obinna taps palmwine for a living.,Male,hair: none; eyes: black; teeth: none; clothings: yellow; black and a touch of pink ankara; accessories: cap; expression: happy; strength: contentment; weakness: naive;,0f1af056-2548-4407-bed4-abc11deae05d,4a66c057a70c8a2b8e4d1e622c517bd35c79ff15bd875d0b6c16f783994dbddf
,33,aminu-maikudi,aminu maikudi,Aminu is a wealthy man from a family with generational wealth. ,Male,hair: none; eyes: black; teeth: none; clothings: maroon and yellow agbada; accessories: cap; expression: unbothered; strength: confidence; weakness: selfishness;,0129e7a5-e3d0-4675-92d0-1a1e55d11612,1c9a3f9f185d90c1100e07107f209e335d502f621e7c692b28a7d55c73fb43e4
,34,sabinus-the-town crier,sabinus the town crier,Sabinus delivers messages to his town people.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothings: orange ankara with touches of blue; accessories: cap; expression: happy; strength: dexterity; weakness: impatience;,01d4ce96-818e-44b1-8813-68a7d34b35ba,bdc5a23d9068d64dfb1cd733703f8ad81e3a418eeb80dc79e4fdff35a75a9d5f
,35,adisa-ibadan,adisa ibadan,Adisa is an elegant man and he is adored by his people.,Male,hair: none; eyes: black; teeth: none; clothings: kente accessories:abeti-aja cap; expression: mischievous; strength: independent; weakness: bossy;,3a925f27-35f6-4dbf-9960-c6527fae5f3e,cd58fcf356ba1c31c7e30a6c4338a25536e17d263ce303eb2fcf410d7cad2de2
,36,linda-the-navigator,linda the navigator,Linda knows how to make a way for herself and the people around her.,Female,hair: blonde; eyes: none; teeth: none; clothings:multicolored; accessories: glasses; expression: confused; strength: creative; weakness: insecure;,71f335a6-5a4f-4410-9cea-179336f0e498,c7dd62be7067be9fa286768e8534b265fb9b6d5f26ae49d95bf51cadf1d4931b
,37,kemi-the-iron lady,kemi the iron lady,Kemi the strongest woman known to the town of Igbede people.,Female,hair: ginger; eyes: none; teeth: none; clothings: ankara; accessories:glasses and a pipe; expression: cool; strength: disciplined; weakness: perfectionist ;,35b11a31-5b92-49f4-8fb1-30f255d22054,78674d9f6b56a9d4b2a396a26d5ff7e91746be7425bdbb84c5a0a1f4c40e9298
,38,mercy-the-sassy lady,mercy the sassy lady,Mercy is a confident woman and never hesistate to show it.,Female,hair: brown; eyes: none; teeth:none; clothings: ankara; accessories: glasses; expression: sassy; strenght: creative; weakness: sensitive;,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,40057610e2f4f51fa1a5eb42f86eb3efa0d2fd6b32fe7b4f1e6305e6cf431ba8
,39,sandra-money,sandra money,Sandra likes getting and spending money.,Female,hair: brown; eyes: none; teeth:none; clothings:yellow and black; accessories: glasses; expression: confused; strength: brave; weakness: overthinker;,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,c3239038eeaa4dc53f0fc9f5271484ffdee3461100b9e4de7011d8c9e8ae41d2
,40,bimpe-the-fashionista,bimpe the fashionista,Bimpe loves wearing trendy clothes and looking gorgeous.,Female,hair: blonde; eyes: none; teeth:gap teeth; clothings: black cold shoulder shirt; accessories: glasses; expression: shocked; strength: intelligent; weakness: procrastination,92b548b7-998b-46b6-8198-80d407209483,41b4bed19abe93230ce91e3d98ab09bd89dec3a55e83c3004a85f931aeb1f0ad
TEAM ENGINE,41,kim-rich-aunty,kim rich aunty,She loves spoiling her nieces and nephew.,Female,hair: pink; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food;,3344a73c-f15e-4afd-a1b2-3199e27eb08f,7dbf0963ce8df63ec7d47cc032a5c7076dac36c5966062bce910c08f250932ef
,42,barbra-stark,barbra stark,She loves fine dining and spends time with family.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food;,4f31fd99-4918-42a9-a112-fa60ef36d5c6,30334db5075e4f0773ff9c537eebcb270bdf00144359fb08ab4110ad830e17dd
,43,jean-art-dolger,jean art dolger,Loves collecting art for charity.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: creative; weakness: food;,5e1105d9-e485-462d-a5bf-1eb931976b13,5c527bb6af0e231fc581a32fee3ff5cdd69831190b3b7b8bf4a62dcb7724e7bc
,44,flora-burger- eater,flora burger eater,She loves eating burgers.,Female,hair: blue; eyes: brown; teeth: gap; clothing: stripes; accessories: none; expression: frowning; strength: prayerful; weakness: food;,054dffd1-cdff-417b-b6c2-a679dabd087b,97a61f6548a096e592123861d8914c0479ccc0d2c6acd3083a29b952005a8bab
,45,jessie-lord-rings,jessie lord rings,She loves her  (precious) jewelry.,Female,hair: blue; eyes: brown; teeth: none; clothing: satin; accessories: none; expression: smiling; strength: kind; weakness: shy;,caacabe1-0abc-43af-92e2-2231248bff93,2b5a80adb415a7293c7efbff13c278032a86ce70a7d0f5621ad010c5ea1423c1
,46,pinky-monky-ponk,pinky monky ponk,She love to dance the honky tonk.,Female,hair: maroon; eyes: blue; teeth: none; clothing: linen; accessories: none; expression: smiling; strength: brave; weakness: chips;,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,ef51198847240f7731b4a128a0a3f4cafa931c67ed6251e0ef07182c81403c54
,47,wanjiru-hippie-glitter,wanjiru hippie glitter,A hippie that loves her glitters.,Female,hair: blue; eyes: brown; teeth: none; clothing: wool; accessories: none; expression: smiling; strength: none; weakness: babies;,683f0d27-3cb4-4948-b1b5-09f10bee575a,da4150f0ad4795995020bc7d8f214b127663c63a4569d5863bef070e47ea5ecf
,48,njoki-binary-coder,njoki binary coder,She codes with the best language and tops the set.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: none; weakness: none;,9b59bdb4-0c6c-4107-9d72-6d38d308edb4,781398d7be2edf2b5ea864026039c4b1ba87de8de710ae8be4a4191286439c89
,49,wangu-calaba-hustler,wangu calaba hustler,She is a passionate hustler you should be careful with her.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: flying; ,67f7da93-3925-4def-b660-58f558c14a19,7fe54a8954a87a2a7eead9f3731fddc69dcd787530dd7a7ed24d52642540384b
,50,lulu-dey-kpako,lulu dey kpako,She's is as enthusiastic as she is beautiful.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: loving; weakness: makeup;,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,951e706ed98b3a62d5d113c25143516f6673786aff7ca1e54789146d8f55233f
,51,kiki-cala-flier,kiki cala flier,She flies first class and gets the best deals.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: kittens;,d24aefff-c9fc-4ea9-a7cf-1b741076c822,7a63c275959f0cbf8a13edfff407ad1d9014b2ceda6eeceab00484fb6821645e
,52,purity-nft -investor,purity nft investor,She is an angel investor looking for the next big thing.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: clothes;,ee86ef77-4793-411a-88d3-ea54d84f6b24,a87eb7854ca5a0d2cdce42fb82bd07e5f2fd57ec1757e7d31bfd84172c8214de
,53,june-binary-monk,june binary monk,She has a twin from Tibet and they always play together .,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: money;,102c4cdb-f812-44fd-bf47-5065284c6075,9ba6d41c07c197ed219b2c8baf716ee8d1c2e768545e2156fe13b81a7939977d
,54,aisha-flying-damsel,aisha flying damsel,She is always a damsel in distress and loves to fly.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: food;,c4071af3-b49e-4ad6-898b-7828f90465fb,1b7888c1567d212b42fe3fde2231c10891b3a6e39e45ba6d29effe1ab19b42a0
,55,bobo-crypto-lovely,bobo crypto lovely,She is a crypto guru you can trust all through.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: water;,427ea0f5-30a3-4d70-a5bd-a6106409b83c,a38aa467029edd442b00a1581196d2a4954eae63343ddabb54b3dcf5d98c9fd7
,56,nell-light -embrace,nell light embrace,She is an empathy ready with a kind word or hug.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: love;,9dfe30b4-c71a-471c-8091-f5c4a238eed8,695bc02d7a8aa644d9b8819898b2c6438d9fdf68889326d6eb1b629afe231318
,57,rachel-mood-silent,rachel mood silent,Introvert  to the core a mysterious lady.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: walls;,11450acd-f0d7-406f-bc18-bdb680404845,b433b1b314c7fe343577dd977bc92b5158cefd99abe1265acefbb9c02f2f35b9
,58,nana-reflector-agent,nana reflector agent,She loves her chrome fashion style.,Female,hair: pink; eyes: blue; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength: brave; weakness: shy;,63bda633-bfca-4b28-823f-7772936b4103,800ba642aa6269a817c8062fa99440429051919dc844a45e54862a4d0763c378
,59,bree-busy-gossip,bree busy gossip,Never whisper your secrets to her except you want the world to know.,Female,hair: blue; eyes:white; teeth: none; clothing: glitter; accessories:none; expression: frowm; strength:goodlistener; weakness:height;,4f5898d9-fc99-4053-a56c-b2ec1ef41347,f8716b01a9ac76679299f659175b3714e47d37e4c0f5b58ebda83052a4551824
,60,jude-shadow-fighter,jude shadow fighter,A ninja warrior; the last samurai standing.,Female,hair: white; eyes:brown; teeth: none; clothing: ankara; accessories:chain; expression: smiling; strength:brave; weakness:water;,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,ee3f2ec2aa4a0e389588ed8906653e91f594eff1346786ac1aae323b6388ff7c
TEAM GRIT,61,toy-soldier,toy soldier,A man stronger than an army.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: happy; strengths: powerful; weakness: sentimental;,fc8ea3ac-59d1-11ed-9b6a-0242ac120002,29ef88bfcd3e8fecceeed83e1b53c86bf3a3708790e50191a81e1a8ab88020b4
,62,pipey-rivers,pipey rivers,A man who loves the water so much and fixes it's path.,Male,hair:bald; eyes: opened; teeth:none; clothing: overall; accessories: nose mask; strengths: calculative; weakness: public speaking;,58f69cae-59d1-11ed-9b6a-0242ac120002,c9c8a50fac24dd9d9eff1a62a217741586fce43407f087b829eba366aad5f17f
,63,phiri-of-zambia,phiri of zambia,An african woman with strength and beauty.,Female,hair: purple buns; eyes:nose; teeth: none; clothing: adire; accessories: sunglasses; expression: jiggy; strengths: free spirit; weakness: blind ;,24b537fa-59d3-11ed-9b6a-0242ac120002,6024ef0aba1690bbfbfe41d9ea9940a006e79e8ddaf1a9c93d1d3c6b78d22095
,64,patrick-of-bikinibottom,patrick of bikinibottom,A white man who loves the african culture and associates with their dressing.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: confused; strengths: adaptation; weakness: fluency;,064c7b84-59d3-11ed-9b6a-0242ac120002,c5fa01896df8dcb2d3dc6005d7ad28d017e1d061dcc925cd6b87db3b912dd081
,65,nobuhle-of-zulu,nobuhle of zulu,A woman; well endowed with beauty.,Female,hair: brown bun; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses; expression: astonished; strengths: cool headed; weakness: pressure;,1ee5b1ce-59d3-11ed-9b6a-0242ac120002,e636046d400d4b54e0c5865798135bd64565404d2204dcc588ccbc7e2e5ffcff
,66,nkosazana-of-xhosa,nkosazana of xhosa,An african princess; always proud of her culture.,Female,hair: ginger afro; eyes:none; teeth: gap teeth; clothing:umbaco; accessories: sunglasses; expression: fufilled; strengths: confidence; weakness: endurance;,2f1a1724-59d3-11ed-9b6a-0242ac120002,523cfb1fb7d6b10d8b95afc8aaf490e07b58c0933ff3582514108e0f2565cd88
,67,mandla-of-zulu,mandla of zulu,A simple and introverted guy who keeps to himself.,Male,hair: bald; eyes: opened; teeth: none; clothing: eshowe; accessories: nose mask; expression: irritated; strength: strong willed; weakness: relationship;,d04553b2-59d7-11ed-9b6a-0242ac120002,6ffb2160725457fea10079d6e3c2e745af222d9ba2a56552e307693a506f623f
,68,john-doe,john doe,A principled guy who is conscious of his health and ensures protection from infection.,Male,hair: bald; eyes: opened; teeth: none; clothing: ankara; accessories: nose mask; expressions: cold; strength: cleaniness; weakness: perfectionist;,5d19795e-59d2-11ed-9b6a-0242ac120002,287d639048ea66e77b42a06fbb8076962612d90cfdf50fea1daa07a48ccbe3d0
,69,ghost-of-power,ghost of power,A woman; stronger than ten men combined.,Female,hair: black tied with scalf; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses and pipe; espression: ruthless; strength: badass; weakness: cancer;,29c764ca-59d3-11ed-9b6a-0242ac120002,cb4c904a3a09453999f58ec8853e5275ed39d6114070c7c635b64007c928120c
,70,freida,freida,A man who is always peaceful.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: calm; strength: peaceful; weakness: anger;,ee671c4a-59d2-11ed-9b6a-0242ac120002,128200286793a85cb6e69ef5510ac3a6dac04537afdf8a9e1312412b7f445489
,71,flamboyant-tree,flamboyant tree,A beautiful african woman; billionaire in the making.,Female,hair: one bun dark brown; eyes: none; teeth: none; clothing: kente; accessories: sunglasses; expression: happy; strength: beauty; weakness: lover girl;,380e4990-59d3-11ed-9b6a-0242ac120002,ef0c37e29d4945913a771921a0af72449444e475d9138b3758c23c212cd5e34c
,72,david-of-accra,david of accra,A combatant who fights and defends his people,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: angry; strength: super powerful; weakness: sleeping;,1c1ef1b4-59d1-11ed-9b6a-0242ac120002,48e8f1ded8b91d6c7b60d9368708d4ac62707c39bec661729eb86b5a21604d37
,73,cally-lily,cally lily,A man who is a breathe of fresh air.,Male,hair: male; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: confused; strength: calm; weakness: sun;,82bba87c-59d1-11ed-9b6a-0242ac120002,1a52df1a56315564a1f878ebc0315967706bcce0336f6c24e85349be4d2c4db5
,74,bubune-of-accra,bubune of accra,A man with honor; always conscious of his health.,Male,hair: bald; eyes: closed; teeth: none; clothing: kente; accessories: nose mask; expression: happy;  strength: clean; weakness: foodie;,faa4b530-59d2-11ed-9b6a-0242ac120002,4992b6a047e11f4225f3590a39951895e8bbaf5cdebef1c27559fc20535e7906
,75,bediako-of-accra,bediako of accra,A strong man; always ready to fight for what is right.,Male,hair: bald; eyes: opened; teeth: none; clothing: balck with kente; accessories: nose mask; expression: suspicious;  strength: activist; weakness: irrational;,fb6e8222-59d0-11ed-9b6a-0242ac120002,11ec8c95049f24760eaf21b3de4592e8887a2365d84d92a140e6210cc0dffa5a
,76,avatar-aang,avatar aang,A man who is ready to save the world.,Male,hair: bald; eyes: opened; teeth: none; clothing: kaftan; accessories: nose mask; expression: soothing; strength: mind games; weakness: insomia;,169f93a0-59d2-11ed-9b6a-0242ac120002,037d5763c36a749c901c386e3ba7f5f005123bdf1dd30f27af4e67513aad12b4
,77,argus-greek,argus greek,A man who you will always find on the look out.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: suspicious; strength: strong;  weakness: lateness;,e7f26b26-59d2-11ed-9b6a-0242ac120002,827843bfcbaed99789bab3c25f44b80dca449fa2754194f00e83f4d5b4da939e
,78,amahle-of-zulu,amahle of zulu,A traditional man; feeling fulfilled.,Male,hair: bald; eyes: closed; teeth: none; clothing: ankara print; accessories: nose mask; expression: excited; strength: conversationist; weakness: traditionalist;,169f93a0-59d2-11ed-9b6a-0242ac120002,e00ba5be7c9fc4e254feff5d4b2615cd3ca93aebed2b6a1d8bb7da68829da2e6
,79,agnar-ole,agnar ole,A man who feels like an outcast and always has a battle with his mind.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: furious; strength: strong willed; weakness: crying;,f3f11fd0-59d2-11ed-9b6a-0242ac120002,86cddf8a5c97b05b95c144cc7a6f5c57e339fc71950c8d313996c8064cd72e14
,80,adom-kulu,adom kulu,A ghanaian model; proud of his culture.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: irritated;  strength: height;  weakness: pride;,00f6589e-59d3-11ed-9b6a-0242ac120002,c0f4a25846fcc71e8bb242ad65b08dd789eeb15099abcaa6e9e446709150c63c
TEAM PRYBAR,81,segun-baller,segun baller,A man who loves to have fun.,Male,hair: black; eyes: black; teeth: none; clothing: kente; accessories: glasses; expression: cool; strength: jovial; weakness: nonchalant;,58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,7a38a53015595e9d02b98bc773ed4ade4a717ecd7071a47d1ec517edb2115960
,82,bolanle-pepper-dem,bolanle pepper dem,A lady that loves to show off.,Male,hair: bald; eyes: back; teeth: none; clothing: kente; accessories: glasses; expression: proud; strength: strong; weakness: big spender;,46966104-775b-4443-90bb-b35afd121653,e6e77ea16f6507b1c3786f42565417313f7f71e788d263bd5044e243ef71dfe9
